"((67, 132), 0)","((66, 131), 1)","((65, 131), 2)","((64, 131), 3)","((63, 131), 4)",
"((67, 133), 0)","((66, 132), 1)","((65, 132), 2)","((64, 132), 3)","((64, 131), 4)","((63, 130), 5)"
"((67, 134), 0)","((66, 133), 1)","((66, 132), 2)","((65, 131), 3)","((64, 130), 4)",
