"((31, 3), 0)","((32, 4), 1)","((33, 5), 2)","((34, 6), 3)","((35, 7), 4)","((35, 8), 5)","((35, 9), 6)","((35, 10), 7)","((35, 11), 8)","((35, 12), 9)","((35, 13), 10)","((35, 14), 11)","((35, 15), 12)","((35, 16), 13)","((35, 17), 14)","((36, 18), 15)","((37, 19), 16)","((38, 20), 17)","((39, 21), 18)","((40, 22), 19)","((41, 23), 20)","((42, 24), 21)","((43, 25), 22)","((44, 26), 23)","((45, 27), 24)","((46, 28), 25)","((47, 29), 26)","((47, 30), 27)","((47, 31), 28)","((47, 32), 29)","((47, 33), 30)","((47, 34), 31)","((47, 35), 32)","((47, 36), 33)","((47, 37), 34)","((47, 38), 35)"
"((32, 5), 0)","((33, 6), 1)","((34, 7), 2)","((35, 8), 3)","((35, 9), 4)","((35, 10), 5)","((35, 11), 6)","((35, 12), 7)","((35, 13), 8)","((35, 14), 9)","((35, 15), 10)","((35, 16), 11)","((35, 17), 12)","((36, 18), 13)","((37, 19), 14)","((38, 20), 15)","((39, 21), 16)","((40, 22), 17)","((41, 23), 18)","((42, 24), 19)","((43, 25), 20)","((44, 26), 21)","((45, 27), 22)","((46, 28), 23)","((47, 29), 24)","((48, 30), 25)","((48, 31), 26)","((48, 32), 27)","((48, 33), 28)","((48, 34), 29)","((48, 35), 30)","((48, 36), 31)","((48, 37), 32)","((48, 38), 33)","((48, 39), 34)","((48, 40), 35)"
"((30, 5), 0)","((31, 6), 1)","((32, 7), 2)","((33, 8), 3)","((34, 9), 4)","((34, 10), 5)","((34, 11), 6)","((34, 12), 7)","((34, 13), 8)","((34, 14), 9)","((34, 15), 10)","((34, 16), 11)","((34, 17), 12)","((35, 18), 13)","((36, 19), 14)","((37, 20), 15)","((38, 21), 16)","((39, 22), 17)","((40, 23), 18)","((41, 24), 19)","((42, 25), 20)","((43, 26), 21)","((44, 27), 22)","((45, 28), 23)","((46, 29), 24)","((46, 30), 25)","((46, 31), 26)","((46, 32), 27)","((46, 33), 28)","((46, 34), 29)","((46, 35), 30)","((46, 36), 31)","((46, 37), 32)","((46, 38), 33)","((46, 39), 34)","((46, 40), 35)"
"((32, 5), 0)","((32, 6), 1)","((33, 7), 2)","((34, 8), 3)","((33, 9), 4)","((33, 10), 5)","((33, 11), 6)","((33, 12), 7)","((33, 13), 8)","((33, 14), 9)","((33, 15), 10)","((33, 16), 11)","((33, 17), 12)","((34, 18), 13)","((35, 19), 14)","((36, 20), 15)","((37, 21), 16)","((38, 22), 17)","((39, 23), 18)","((40, 24), 19)","((41, 25), 20)","((42, 26), 21)","((43, 27), 22)","((44, 28), 23)","((45, 29), 24)","((46, 29), 25)","((47, 30), 26)","((48, 31), 27)","((48, 32), 28)","((48, 33), 29)","((48, 34), 30)","((48, 35), 31)","((48, 36), 32)","((48, 37), 33)","((48, 38), 34)","((48, 39), 35)"
"((30, 3), 0)","((31, 4), 1)","((32, 5), 2)","((33, 6), 3)","((34, 7), 4)","((34, 8), 5)","((34, 9), 6)","((34, 10), 7)","((34, 11), 8)","((34, 12), 9)","((34, 13), 10)","((34, 14), 11)","((34, 15), 12)","((34, 16), 13)","((34, 17), 14)","((35, 18), 15)","((36, 19), 16)","((37, 20), 17)","((38, 21), 18)","((39, 22), 19)","((40, 23), 20)","((41, 24), 21)","((42, 25), 22)","((43, 26), 23)","((44, 27), 24)","((45, 28), 25)","((46, 29), 26)","((46, 30), 27)","((46, 31), 28)","((46, 32), 29)","((46, 33), 30)","((46, 34), 31)","((46, 35), 32)","((46, 36), 33)","((46, 37), 34)","((46, 38), 35)"
"((30, 3), 0)","((30, 4), 1)","((31, 5), 2)","((32, 6), 3)","((33, 7), 4)","((33, 8), 5)","((33, 9), 6)","((33, 10), 7)","((33, 11), 8)","((33, 12), 9)","((33, 13), 10)","((33, 14), 11)","((33, 15), 12)","((33, 16), 13)","((33, 17), 14)","((34, 18), 15)","((35, 19), 16)","((36, 20), 17)","((37, 21), 18)","((38, 22), 19)","((39, 23), 20)","((40, 24), 21)","((41, 25), 22)","((42, 26), 23)","((43, 27), 24)","((44, 28), 25)","((45, 29), 26)","((46, 29), 27)","((46, 30), 28)","((46, 31), 29)","((46, 32), 30)","((46, 33), 31)","((46, 34), 32)","((46, 35), 33)","((46, 36), 34)","((46, 37), 35)"
"((30, 4), 0)","((31, 5), 1)","((32, 6), 2)","((33, 7), 3)","((34, 8), 4)","((35, 9), 5)","((35, 10), 6)","((35, 11), 7)","((35, 12), 8)","((35, 13), 9)","((35, 14), 10)","((35, 15), 11)","((35, 16), 12)","((35, 17), 13)","((36, 18), 14)","((37, 19), 15)","((38, 20), 16)","((39, 21), 17)","((40, 22), 18)","((41, 23), 19)","((42, 24), 20)","((43, 25), 21)","((44, 26), 22)","((45, 27), 23)","((46, 28), 24)","((47, 29), 25)","((46, 30), 26)","((46, 31), 27)","((46, 32), 28)","((46, 33), 29)","((46, 34), 30)","((46, 35), 31)","((46, 36), 32)","((46, 37), 33)","((46, 38), 34)","((46, 39), 35)"
