"((31, 3), 0)","((32, 4), 1)","((33, 5), 2)","((34, 6), 3)","((35, 7), 4)","((35, 8), 5)","((35, 9), 6)","((35, 10), 7)","((35, 11), 8)","((35, 12), 9)","((35, 13), 10)","((35, 14), 11)","((35, 15), 12)","((35, 16), 13)","((35, 17), 14)","((36, 18), 15)"
"((32, 5), 0)","((33, 6), 1)","((34, 7), 2)","((35, 8), 3)","((35, 9), 4)","((35, 10), 5)","((35, 11), 6)","((35, 12), 7)","((35, 13), 8)","((35, 14), 9)","((35, 15), 10)","((35, 16), 11)","((35, 17), 12)","((36, 18), 13)","((37, 19), 14)","((38, 20), 15)"
"((30, 5), 0)","((31, 6), 1)","((32, 7), 2)","((33, 8), 3)","((34, 9), 4)","((34, 10), 5)","((34, 11), 6)","((34, 12), 7)","((34, 13), 8)","((34, 14), 9)","((34, 15), 10)","((34, 16), 11)","((34, 17), 12)","((35, 18), 13)","((36, 19), 14)","((37, 20), 15)"
"((32, 5), 0)","((32, 6), 1)","((33, 7), 2)","((34, 8), 3)","((33, 9), 4)","((33, 10), 5)","((33, 11), 6)","((33, 12), 7)","((33, 13), 8)","((33, 14), 9)","((33, 15), 10)","((33, 16), 11)","((33, 17), 12)","((34, 18), 13)","((35, 19), 14)","((36, 20), 15)"
"((30, 3), 0)","((31, 4), 1)","((32, 5), 2)","((33, 6), 3)","((34, 7), 4)","((34, 8), 5)","((34, 9), 6)","((34, 10), 7)","((34, 11), 8)","((34, 12), 9)","((34, 13), 10)","((34, 14), 11)","((34, 15), 12)","((34, 16), 13)","((34, 17), 14)","((35, 18), 15)"
"((30, 3), 0)","((30, 4), 1)","((31, 5), 2)","((32, 6), 3)","((33, 7), 4)","((33, 8), 5)","((33, 9), 6)","((33, 10), 7)","((33, 11), 8)","((33, 12), 9)","((33, 13), 10)","((33, 14), 11)","((33, 15), 12)","((33, 16), 13)","((33, 17), 14)","((34, 18), 15)"
"((30, 4), 0)","((31, 5), 1)","((32, 6), 2)","((33, 7), 3)","((34, 8), 4)","((35, 9), 5)","((35, 10), 6)","((35, 11), 7)","((35, 12), 8)","((35, 13), 9)","((35, 14), 10)","((35, 15), 11)","((35, 16), 12)","((35, 17), 13)","((36, 18), 14)","((37, 19), 15)"
