"((31, 3), 0)","((32, 4), 1)","((33, 5), 2)","((34, 6), 3)","((35, 7), 4)","((35, 8), 5)","((35, 9), 6)","((35, 10), 7)","((35, 11), 8)","((35, 12), 9)","((35, 13), 10)","((35, 14), 11)","((35, 15), 12)","((35, 16), 13)","((35, 17), 14)","((36, 18), 15)","((37, 19), 16)","((38, 20), 17)","((39, 21), 18)","((40, 22), 19)","((41, 23), 20)","((42, 24), 21)","((43, 25), 22)","((44, 26), 23)","((45, 27), 24)","((46, 28), 25)","((47, 29), 26)","((47, 30), 27)","((47, 31), 28)","((47, 32), 29)","((47, 33), 30)","((47, 34), 31)","((47, 35), 32)","((47, 36), 33)","((47, 37), 34)","((47, 38), 35)","((47, 39), 36)","((47, 40), 37)","((47, 41), 38)","((47, 42), 39)","((47, 43), 40)","((48, 44), 41)",
"((32, 5), 0)","((33, 6), 1)","((34, 7), 2)","((35, 8), 3)","((35, 9), 4)","((35, 10), 5)","((35, 11), 6)","((35, 12), 7)","((35, 13), 8)","((35, 14), 9)","((35, 15), 10)","((35, 16), 11)","((35, 17), 12)","((36, 18), 13)","((37, 19), 14)","((38, 20), 15)","((39, 21), 16)","((40, 22), 17)","((41, 23), 18)","((42, 24), 19)","((43, 25), 20)","((44, 26), 21)","((45, 27), 22)","((46, 28), 23)","((47, 29), 24)","((48, 30), 25)","((48, 31), 26)","((48, 32), 27)","((48, 33), 28)","((48, 34), 29)","((48, 35), 30)","((48, 36), 31)","((48, 37), 32)","((48, 38), 33)","((48, 39), 34)","((48, 40), 35)","((48, 41), 36)","((48, 42), 37)","((48, 43), 38)","((48, 44), 39)","((48, 45), 40)","((49, 46), 41)",
"((30, 5), 0)","((31, 6), 1)","((32, 7), 2)","((33, 8), 3)","((34, 9), 4)","((34, 10), 5)","((34, 11), 6)","((34, 12), 7)","((34, 13), 8)","((34, 14), 9)","((34, 15), 10)","((34, 16), 11)","((34, 17), 12)","((35, 18), 13)","((36, 19), 14)","((37, 20), 15)","((38, 21), 16)","((39, 22), 17)","((40, 23), 18)","((41, 24), 19)","((42, 25), 20)","((43, 26), 21)","((44, 27), 22)","((45, 28), 23)","((46, 29), 24)","((46, 30), 25)","((46, 31), 26)","((46, 32), 27)","((46, 33), 28)","((46, 34), 29)","((46, 35), 30)","((46, 36), 31)","((46, 37), 32)","((46, 38), 33)","((46, 39), 34)","((46, 40), 35)","((46, 41), 36)","((46, 42), 37)","((46, 43), 38)","((46, 44), 39)","((46, 45), 40)","((47, 46), 41)",
"((32, 5), 0)","((32, 6), 1)","((33, 7), 2)","((34, 8), 3)","((33, 9), 4)","((33, 10), 5)","((33, 11), 6)","((33, 12), 7)","((33, 13), 8)","((33, 14), 9)","((33, 15), 10)","((33, 16), 11)","((33, 17), 12)","((34, 18), 13)","((35, 19), 14)","((36, 20), 15)","((37, 21), 16)","((38, 22), 17)","((39, 23), 18)","((40, 24), 19)","((41, 25), 20)","((42, 26), 21)","((43, 27), 22)","((44, 28), 23)","((45, 29), 24)","((46, 29), 25)","((47, 30), 26)","((48, 31), 27)","((48, 32), 28)","((48, 33), 29)","((48, 34), 30)","((48, 35), 31)","((48, 36), 32)","((48, 37), 33)","((48, 38), 34)","((48, 39), 35)","((48, 40), 36)","((48, 41), 37)","((48, 42), 38)","((48, 43), 39)","((48, 44), 40)","((48, 45), 41)","((49, 46), 42)"
"((30, 3), 0)","((31, 4), 1)","((32, 5), 2)","((33, 6), 3)","((34, 7), 4)","((34, 8), 5)","((34, 9), 6)","((34, 10), 7)","((34, 11), 8)","((34, 12), 9)","((34, 13), 10)","((34, 14), 11)","((34, 15), 12)","((34, 16), 13)","((34, 17), 14)","((35, 18), 15)","((36, 19), 16)","((37, 20), 17)","((38, 21), 18)","((39, 22), 19)","((40, 23), 20)","((41, 24), 21)","((42, 25), 22)","((43, 26), 23)","((44, 27), 24)","((45, 28), 25)","((46, 29), 26)","((46, 30), 27)","((46, 31), 28)","((46, 32), 29)","((46, 33), 30)","((46, 34), 31)","((46, 35), 32)","((46, 36), 33)","((46, 37), 34)","((46, 38), 35)","((46, 39), 36)","((46, 40), 37)","((46, 41), 38)","((46, 42), 39)","((46, 43), 40)","((47, 44), 41)",
