"((31, 3), 0)","((32, 4), 1)","((33, 5), 2)","((34, 6), 3)","((35, 7), 4)","((35, 8), 5)","((35, 9), 6)","((35, 10), 7)","((35, 11), 8)","((35, 12), 9)","((35, 13), 10)","((35, 14), 11)","((35, 15), 12)","((35, 16), 13)","((35, 17), 14)","((36, 18), 15)"
"((32, 5), 0)","((33, 6), 1)","((34, 7), 2)","((35, 8), 3)","((35, 9), 4)","((35, 10), 5)","((35, 11), 6)","((35, 12), 7)","((35, 13), 8)","((35, 14), 9)","((35, 15), 10)","((35, 16), 11)","((35, 17), 12)","((36, 18), 13)","((37, 19), 14)","((38, 20), 15)"
"((30, 5), 0)","((31, 6), 1)","((32, 7), 2)","((33, 8), 3)","((34, 9), 4)","((34, 10), 5)","((34, 11), 6)","((34, 12), 7)","((34, 13), 8)","((34, 14), 9)","((34, 15), 10)","((34, 16), 11)","((34, 17), 12)","((35, 18), 13)","((36, 19), 14)","((37, 20), 15)"
