"((31, 3), 0)","((32, 4), 1)","((33, 5), 2)","((34, 6), 3)","((35, 7), 4)","((35, 8), 5)"
"((32, 5), 0)","((33, 6), 1)","((34, 7), 2)","((35, 8), 3)","((35, 9), 4)","((35, 10), 5)"
"((30, 5), 0)","((31, 6), 1)","((32, 7), 2)","((33, 8), 3)","((34, 9), 4)","((34, 10), 5)"
"((32, 5), 0)","((32, 6), 1)","((33, 7), 2)","((34, 8), 3)","((33, 9), 4)","((33, 10), 5)"
"((30, 3), 0)","((31, 4), 1)","((32, 5), 2)","((33, 6), 3)","((34, 7), 4)","((34, 8), 5)"
"((30, 3), 0)","((30, 4), 1)","((31, 5), 2)","((32, 6), 3)","((33, 7), 4)","((33, 8), 5)"
"((30, 4), 0)","((31, 5), 1)","((32, 6), 2)","((33, 7), 3)","((34, 8), 4)","((35, 9), 5)"
"((31, 3), 0)","((32, 3), 1)","((33, 4), 2)","((34, 5), 3)","((35, 6), 4)","((35, 7), 5)"
